no,name_of_member,state,party,term_start,term_end,vacation_date_reason,vacation_date,vacation_reason,party_normalized
52,Akhtar Hussain Shri,Uttar Pradesh,Congress,1956-04-03,1962-04-02,Retirement,1962-04-02,Retirement,INDIAN NATIONAL CONGRESS
65,Alva Smt. Violet,Bombay,Congress,1952-04-03,1960-04-02,Retirement,1960-04-02,Retirement,INDIAN NATIONAL CONGRESS
70,Ambedkar Shri B.R.,Bombay,SCF,1952-04-03,1956-04-02,Retirement,1956-04-02,Retirement,SCHEDULED CASTES FEDERATION
70,Ambedkar Shri B.R.,Bombay,SCF,1956-04-03,1962-04-02,06/12/1956 Death,1956-12-06,Death,SCHEDULED CASTES FEDERATION
76,Ammu Swaminadhan Smt.,Madras,Congress,1957-11-09,1960-04-02,Retirement,1960-04-02,Retirement,INDIAN NATIONAL CONGRESS
77,Amolakh Chand Shri,Uttar Pradesh,Congress,1952-04-03,1954-04-02,Retirement,1954-04-02,Retirement,INDIAN NATIONAL CONGRESS
77,Amolakh Chand Shri,Uttar Pradesh,Congress,1954-04-03,1960-04-02,Retirement,1960-04-02,Retirement,INDIAN NATIONAL CONGRESS
78,Amrit Kaur Rajkumari,Punjab,Congress,1957-04-20,1958-04-02,Retirement,1958-04-02,Retirement,INDIAN NATIONAL CONGRESS
78,Amrit Kaur Rajkumari,Punjab,Congress,1958-04-03,1964-04-02,06/02/1964 Death,1964-02-06,Death,INDIAN NATIONAL CONGRESS
82,Anand Chand Shri,Bihar,Congress,1958-04-03,1964-04-02,Retirement,1964-04-02,Retirement,INDIAN NATIONAL CONGRESS
85,Anant Ram Pandit,Jammu & Kashmir,J&KNC,1952-04-03,1954-04-02,Retirement,1954-04-02,Retirement,JAMMU & KASHMIR NATIONAL CONFERENCE
88,Angelina Tiga Smt.,Bihar,JHKP,1952-04-03,1954-04-02,Retirement,1954-04-02,Retirement,JHARKAND PARTY
89,Angre Sardar Chandroji Sambhaji Rao,Madhya Bharat,HM,1952-04-03,1954-04-02,Retirement,1954-04-02,Retirement,HINDU MAHASABHA
96,Ansari Shri Faridul Haq,Uttar Pradesh,PSP,1958-04-03,1964-04-02,Retirement,1964-04-02,Retirement,""
101,Ansaruddin Ahmed Shri,West Bengal,Congress,1958-04-03,1964-04-02,Retirement,1964-04-02,Retirement,INDIAN NATIONAL CONGRESS
104,Anup Singh Dr.,Punjab,Congress,1952-04-03,1954-04-02,Retirement,1954-04-02,Retirement,INDIAN NATIONAL CONGRESS
104,Anup Singh Dr.,Punjab,Congress,1954-04-03,1960-04-02,Retirement,1960-04-02,Retirement,INDIAN NATIONAL CONGRESS
115,Arundale Smt. Rukmini Devi,Nominated,NOM.,1952-04-03,1956-04-02,Retirement,1956-04-02,Retirement,""
115,Arundale Smt. Rukmini Devi,Nominated,NOM.,1956-04-03,1962-04-02,Retirement,1962-04-02,Retirement,""
128,Ayyangar Shri Narasimha Gopalaswami,Madras,Congress,1952-04-03,1956-04-02,10/02/1953 Death,1953-02-10,Death,INDIAN NATIONAL CONGRESS
129,Ayyar Shri Alladi Krishnaswami,Nominated,NOM.,1952-04-03,1958-04-02,03/10/1953 Death,1953-10-03,Death,""
40,Banerjee Shri Satyapriya,West Bengal,FB(M),1952-04-03,1956-04-02,Retirement,1956-04-02,Retirement,ALL INDIA FORWARD BLOC (MARXIST)
40,Banerjee Shri Satyapriya,West Bengal,FB(M),1956-04-03,1960-04-02,23/03/1957 Death,1957-03-23,Death,ALL INDIA FORWARD BLOC (MARXIST)
47,Barlingay Dr. Waman Sheodas,Madhya Pradesh,Congress,1952-04-13,1956-04-02,Retirement,1956-04-02,Retirement,INDIAN NATIONAL CONGRESS
47,Barlingay Dr. Waman Sheodas,Maharashtra,Congress,1956-04-03,1962-04-02,Retirement,1962-04-02,Retirement,INDIAN NATIONAL CONGRESS
51,Barooah Shri Lila Dhar,Assam,Congress,1958-08-27,1960-04-02,Retirement,1960-04-02,Retirement,INDIAN NATIONAL CONGRESS
56,Basavapunnaiah Shri Makkineni,Madras,Communist,1952-04-03,1954-04-02,Retirement,1954-04-02,Retirement,""
56,Basavapunnaiah Shri Makkineni,Andhra Pradesh,Communist,1954-04-03,1960-04-02,Retirement,1960-04-02,Retirement,""
63,Basu Shri Santosh Kumar,West Bengal,CONG(I),1957-05-03,1958-04-02,Retirement,1958-04-02,Retirement,""
63,Basu Shri Santosh Kumar,West Bengal,CONG(I),1958-04-03,1964-04-02,Retirement,1964-04-02,Retirement,""
68,Beed Shri Indra Bhushan,West Bengal,Congress,1952-04-03,1956-04-02,02/04/1956 Retirement,1956-04-02,Retirement,INDIAN NATIONAL CONGRESS
86,Bhanj Deo Shri Prafulla Chandra,Odisha,GP,1952-04-03,1954-04-02,Retirement,1954-04-02,Retirement,""
86,Bhanj Deo Shri Prafulla Chandra,Odisha,GP,1954-04-03,1960-04-02,05/03/1959 Death,1959-03-05,Death,""
88,Bharathi Smt. K. Udayabhanu,Travancore Cochin,Congress,1954-04-03,1958-04-02,Retirement,1958-04-02,Retirement,INDIAN NATIONAL CONGRESS
88,Bharathi Smt. K. Udayabhanu,Travancore Cochin,Congress,1958-04-03,1964-04-02,Retirement,1964-04-02,Retirement,INDIAN NATIONAL CONGRESS
93,Bhargava Shri Mahabir Prasad,Uttar Pradesh,Congress,1956-12-13,1958-04-02,Retirement,1958-04-02,Retirement,INDIAN NATIONAL CONGRESS
93,Bhargava Shri Mahabir Prasad,Uttar Pradesh,Congress,1958-04-03,1964-04-02,Retirement,1964-04-02,Retirement,INDIAN NATIONAL CONGRESS
94,Bhargava Smt. Sharda,Rajasthan,Congress,1952-04-03,1956-04-02,Retirement,1956-04-02,Retirement,INDIAN NATIONAL CONGRESS
94,Bhargava Smt. Sharda,Rajasthan,Congress,1956-04-03,1962-04-02,Retirement,1962-04-02,Retirement,INDIAN NATIONAL CONGRESS
101,Bhatt Shri Nanabhai,Saurashtra,Congress,1952-04-03,1956-04-02,Retirement,1956-04-02,Retirement,INDIAN NATIONAL CONGRESS
112,Bheron Prasad Shri,Bhopal,Congress,1952-04-03,1958-04-02,Retirement,1958-04-02,Retirement,INDIAN NATIONAL CONGRESS
120,Bhuyan Dr. S.K.,Assam,Congress,1952-04-03,1954-04-02,Retirement,1954-04-02,Retirement,INDIAN NATIONAL CONGRESS
123,Bisht Shri Jashaud Singh,Uttar Pradesh,Congress,1952-04-03,1956-04-02,Retirement,1956-04-02,Retirement,INDIAN NATIONAL CONGRESS
123,Bisht Shri Jashaud Singh,Uttar Pradesh,Congress,1956-04-03,1962-04-02,Retirement,1962-04-02,Retirement,INDIAN NATIONAL CONGRESS
127,Biswas Shri Charu Chandra,West Bengal,Congress,1952-04-03,1954-04-02,Retirement,1954-04-02,Retirement,INDIAN NATIONAL CONGRESS
127,Biswas Shri Charu Chandra,West Bengal,Congress,1954-04-03,1960-04-02,Retirement,1960-04-02,Retirement,INDIAN NATIONAL CONGRESS
129,Biswasroy Shri Radhakrishna,Odisha,Congress,1952-04-03,1958-04-02,01/04/1957 Resignation,1957-04-01,Resignation,INDIAN NATIONAL CONGRESS
131,Bodra Shri Theodore,Bihar,JHKP,1954-04-03,1960-04-02,Retirement,1960-04-02,Retirement,JHARKAND PARTY
138,Borooah Shri Lakshesvar,Assam,Congress,1952-04-03,1954-04-02,Retirement,1954-04-02,Retirement,INDIAN NATIONAL CONGRESS
139,Bose Dr. Atindra Nath,West Bengal,PSP,1958-04-03,1964-04-02,17/10/1961 Death,1961-10-17,Death,""
141,Bose Prof. Satyendra Nath,Nominated,NOM.,1952-04-03,1954-04-02,Retirement,1954-04-02,Retirement,""
141,Bose Prof. Satyendra Nath,Nominated,NOM.,1954-04-03,1960-04-02,02/07/1959 Resignation,1959-07-02,Resignation,""
147,Budh Singh Sardar,Jammu & Kashmir,J&KNC,1952-04-03,1958-04-02,Retirement,1958-04-02,Retirement,JAMMU & KASHMIR NATIONAL CONFERENCE
147,Budh Singh Sardar,Jammu & Kashmir,J&KNC,1958-04-03,1964-04-02,Retirement,1964-04-02,Retirement,JAMMU & KASHMIR NATIONAL CONFERENCE
148,Buragohain Smt. Bedavati,Assam,Congress,1954-04-03,1960-04-02,Retirement,1960-04-02,Retirement,INDIAN NATIONAL CONGRESS
7,Chakradhar Shri A.,Andhra Pradesh,O,1958-04-03,1964-04-02,Retirement,1964-04-02,Retirement,""
10,Chaman Lall Diwan,Punjab,Congress,1952-04-03,1956-04-02,Retirement,1956-04-02,Retirement,INDIAN NATIONAL CONGRESS
10,Chaman Lall Diwan,Punjab,Congress,1956-04-03,1962-04-02,Retirement,1962-04-02,Retirement,INDIAN NATIONAL CONGRESS
24,Chatterjee Shri Jogesh Chandra,Uttar Pradesh,Congress,1956-04-03,1960-04-02,Retirement,1960-04-02,Retirement,INDIAN NATIONAL CONGRESS
29,Chaturvedi Shri Banarsi Das,Vindhya Pradesh,Congress,1952-04-03,1958-04-02,Retirement,1958-04-02,Retirement,INDIAN NATIONAL CONGRESS
29,Chaturvedi Shri Banarsi Das,Madhya Pradesh,Congress,1958-04-03,1964-04-02,Retirement,1964-04-02,Retirement,INDIAN NATIONAL CONGRESS
38,Chaudhury Shri Mahendramohan,Assam,Congress,1956-12-01,1962-11-30,09/04/1958 Resignation,1958-04-09,Resignation,INDIAN NATIONAL CONGRESS
40,Chauhan Shri Nawab Singh,Uttar Pradesh,Congress,1952-04-03,1958-04-02,Retirement,1958-04-02,Retirement,INDIAN NATIONAL CONGRESS
40,Chauhan Shri Nawab Singh,Uttar Pradesh,Congress,1958-04-03,1964-04-02,21/06/1963 Resignation,1963-06-21,Resignation,INDIAN NATIONAL CONGRESS
53,Chettiar Shri T.S.Avinashlingam,Tamil Nadu,Congress,1958-04-03,1964-04-02,Retirement,1964-04-02,Retirement,INDIAN NATIONAL CONGRESS
55,Chettry Smt. Maya Devi,West Bengal,Congress,1952-04-03,1958-04-02,Retirement,1958-04-02,Retirement,INDIAN NATIONAL CONGRESS
55,Chettry Smt. Maya Devi,West Bengal,Congress,1958-04-03,1964-04-02,Retirement,1964-04-02,Retirement,INDIAN NATIONAL CONGRESS
56,Chinai Shri Babubhai Maneklal,Bombay,IND.,1958-04-03,1964-04-02,Retirement,1964-04-02,Retirement,INDEPENDENT
2,Daga Shri Narayandas K.,Hyderabad,Congress,1954-04-23,1958-04-02,Retirement,1958-04-02,Retirement,INDIAN NATIONAL CONGRESS
3,Daga Shri Sitaram,West Bengal,Congress,1957-05-03,1958-04-02,Retirement,1958-04-02,Retirement,INDIAN NATIONAL CONGRESS
10,Dangre Shri R.V.,Madhya Pradesh,Congress,1954-04-03,1960-04-02,Retirement,1960-04-02,Retirement,INDIAN NATIONAL CONGRESS
17,Das Shri Bhubanananda,Odisha,Congress,1957-04-27,1958-02-23,23/02/1958 Death,1958-02-23,Death,INDIAN NATIONAL CONGRESS
20,Das Shri Biswanath,Odisha,Congress,1954-04-03,1960-04-02,Retirement,1960-04-02,Retirement,INDIAN NATIONAL CONGRESS
21,Das Shri Jagannath,Odisha,INC,1952-04-03,1956-04-02,Retirement,1956-04-02,Retirement,INDIAN NATIONAL CONGRESS
31,Das Smt. Pushpalata,Assam,Congress,1952-04-03,1956-04-02,Retirement,1956-04-02,Retirement,INDIAN NATIONAL CONGRESS
31,Das Smt. Pushpalata,Assam,Congress,1956-04-03,1962-04-02,Retirement,1962-04-02,Retirement,INDIAN NATIONAL CONGRESS
32,Das Ms. Shoila Bala,Odisha,Congress,1952-04-03,1954-04-02,Retirement,1954-04-02,Retirement,INDIAN NATIONAL CONGRESS
34,Dasappa Shri H.C.,Karnataka,INC,1954-04-03,1960-04-02,13/03/1957 Elected to Lok Sabha,1957-03-13,ElectedtoLokSabha,INDIAN NATIONAL CONGRESS
38,Dass Shri A. Dharam,Uttar Pradesh,Congress,1952-04-03,1958-04-02,Retirement,1958-04-02,Retirement,INDIAN NATIONAL CONGRESS
38,Dass Shri A. Dharam,Uttar Pradesh,Congress,1958-04-03,1964-04-02,27/07/1960 Death,1960-07-27,Death,INDIAN NATIONAL CONGRESS
42,Dave Shri Rohit Manushankar,Bombay,PSP,1958-04-03,1964-04-02,Retirement,1964-04-02,Retirement,""
43,Dave Shri Somnath P.,Bombay,Congress,1952-04-03,1958-04-02,Retirement,1958-04-02,Retirement,INDIAN NATIONAL CONGRESS
43,Dave Shri Somnath P.,Bombay,Congress,1958-04-03,1964-04-02,05/01/1959 Death,1959-01-05,Death,INDIAN NATIONAL CONGRESS
46,Deb Shri Suresh Chandra,Assam,Congress,1957-05-03,1960-04-02,Retirement,1960-04-02,Retirement,INDIAN NATIONAL CONGRESS
53,Deogirikar Shri T.R.,Bombay,Congress,1952-04-03,1956-04-02,Retirement,1956-04-02,Retirement,INDIAN NATIONAL CONGRESS
53,Deogirikar Shri T.R.,Bombay,Congress,1956-04-03,1962-04-02,Retirement,1962-04-02,Retirement,INDIAN NATIONAL CONGRESS
58,Desai Shri Janardhan Rao,Mysore,Congress,1956-04-03,1962-04-02,Retirement,1962-04-02,Retirement,INDIAN NATIONAL CONGRESS
59,Desai Shri Khandubhai K.,Bombay,Congress,1959-03-09,1964-04-02,Retirement,1964-04-02,Retirement,INDIAN NATIONAL CONGRESS
64,Deshmukh Shri Narsinghrao Balbhimrao,Bombay,PWP,1952-04-03,1954-04-02,Retirement,1954-04-02,Retirement,""
64,Deshmukh Shri Narsinghrao Balbhimrao,Bombay,PWP,1954-04-03,1960-04-02,Retirement,1960-04-02,Retirement,""
65,Deshmukh Shri Ramrao Madhavrao,Bombay,Congress,1952-04-03,1958-04-02,Retirement,1958-04-02,Retirement,INDIAN NATIONAL CONGRESS
65,Deshmukh Shri Ramrao Madhavrao,Bombay,Congress,1958-04-03,1964-04-02,Retirement,1964-04-02,Retirement,INDIAN NATIONAL CONGRESS
74,Dey Shri S. K.,Delhi,INC,1957-01-31,1962-03-01,01/03/1962 Elected to Lok Sabha,1962-03-01,ElectedtoLokSabha,INDIAN NATIONAL CONGRESS
76,Dhage Shri Venkat Krishna,Bombay,PDF,1952-04-03,1956-04-02,Retirement,1956-04-02,Retirement,""
76,Dhage Shri Venkat Krishna,Bombay,IND.,1956-04-03,1960-04-02,Retirement,1960-04-02,Retirement,INDEPENDENT
80,Dharam Prakash Dr.,Uttar Pradesh,Congress,1958-08-09,1962-04-02,Retirement,1962-04-02,Retirement,INDIAN NATIONAL CONGRESS
84,Dhillon Shri Guraj Singh,Punjab,SAD,1952-04-03,1958-04-02,Retirement,1958-04-02,Retirement,""
95,Dinkar Prof. Ramdhari Sinha,Bihar,Congress,1952-04-03,1954-04-02,Retirement,1954-04-02,Retirement,INDIAN NATIONAL CONGRESS
95,Dinkar Prof. Ramdhari Sinha,Bihar,Congress,1954-04-03,1960-04-02,Retirement,1960-04-02,Retirement,INDIAN NATIONAL CONGRESS
96,Diwakar Shri R.R.,Maharashtra,Congress,1952-04-03,1952-06-13,13/06/1952 Resignation,1952-06-13,Resignation,INDIAN NATIONAL CONGRESS
97,Doogar Shri Rajpat Singh,West Bengal,Congress,1952-04-03,1954-04-02,Retirement,1954-04-02,Retirement,INDIAN NATIONAL CONGRESS
97,Doogar Shri Rajpat Singh,West Bengal,Congress,1954-04-03,1960-04-02,Retirement,1960-04-02,Retirement,INDIAN NATIONAL CONGRESS
98,Doshi Shri Lalchand Hirachand,Mysore,Congress,1952-04-03,1958-04-02,Retirement,1958-04-02,Retirement,INDIAN NATIONAL CONGRESS
101,Dube Shri Baij Nath,Vindhya Pradesh,Socialist,1952-04-03,1954-04-02,Retirement,1954-04-02,Retirement,""
102,Dube Shri Bodh Ram,Odisha,Congress,1952-04-03,1958-04-02,Retirement,1958-04-02,Retirement,INDIAN NATIONAL CONGRESS
103,Dube Dr. R.P.,Madhya Pradesh,Congress,1952-04-03,1960-04-02,Retirement,1960-04-02,Retirement,INDIAN NATIONAL CONGRESS
104,Dube Pandit Sitacharan,Madhya Pradesh,Congress,1952-04-03,1954-04-02,Retirement,1954-04-02,Retirement,INDIAN NATIONAL CONGRESS
114,Dutt Dr. Nalinaksha,West Bengal,Congress,1952-04-03,1954-04-02,Retirement,1954-04-02,Retirement,INDIAN NATIONAL CONGRESS
114,Dutt Dr. Nalinaksha,West Bengal,Congress,1954-04-03,1960-04-02,Retirement,1960-04-02,Retirement,INDIAN NATIONAL CONGRESS
118,Dutta Shri Trilochan,Jammu & Kashmir,Congress,1954-11-11,1960-11-10,Retirement,1960-11-10,Retirement,INDIAN NATIONAL CONGRESS
122,Dwivedy Shri Surendranath,Odisha,Socialist,1952-04-03,1956-04-02,Retirement,1956-04-02,Retirement,""
5,Galib Shaik,Andhra Pradesh,Congress,1954-04-03,1960-04-02,12/07/1958 Resignation,1958-07-12,Resignation,INDIAN NATIONAL CONGRESS
20,George Shri K. C.,Travancore Cochin,CPI,1952-04-03,1954-04-02,05/03/1954 Resignation,1954-03-05,Resignation,COMMUNIST PARTY OF INDIA
21,Ghose Shri Bimal Comar,West Bengal,PSP,1952-04-03,1958-04-02,21/03/1957 Elected to Lok Sabha,1957-03-21,ElectedtoLokSabha,""
22,Ghose Principal Devaprasad,West Bengal,JS,1952-04-03,1954-04-02,Retirement,1954-04-02,Retirement,""
24,Ghose Shri Surendra Mohan,West Bengal,Congress,1956-12-13,1962-04-02,Retirement,1962-04-02,Retirement,INDIAN NATIONAL CONGRESS
33,Gilder Dr. Muncheshaw Dhunjeebhai Dorabjee,Bombay,Congress,1952-04-03,1956-04-02,Retirement,1956-04-02,Retirement,INDIAN NATIONAL CONGRESS
33,Gilder Dr. Muncheshaw Dhunjeebhai Dorabjee,Bombay,Congress,1956-04-03,1960-04-02,Retirement,1960-04-02,Retirement,INDIAN NATIONAL CONGRESS
43,Gopal Shri V G,Bihar,Congress,1952-04-03,1956-04-02,Retirement,1956-04-02,Retirement,INDIAN NATIONAL CONGRESS
55,Gour Dr. Raj Bahadur,Andhra Pradesh,PDF,1952-04-03,1956-04-02,Retirement,1956-04-02,Retirement,""
55,Gour Dr. Raj Bahadur,Andhra Pradesh,Communist,1956-04-03,1962-04-02,Retirement,1962-04-02,Retirement,""
67,Gulsher Ahmed Shri,Vindhya Pradesh,Congress,1952-04-03,1956-04-02,Retirement,1956-04-02,Retirement,INDIAN NATIONAL CONGRESS
71,Gupta Shri Bhupesh,West Bengal,CPI,1952-04-03,1958-04-02,Retirement,1958-04-02,Retirement,COMMUNIST PARTY OF INDIA
71,Gupta Shri Bhupesh,West Bengal,CPI,1958-04-03,1964-04-02,Retirement,1964-04-02,Retirement,COMMUNIST PARTY OF INDIA
74,Gupta Shri Maithilisharan,Nominated,NOM.,1952-04-03,1958-04-02,Retirement,1958-04-02,Retirement,""
74,Gupta Shri Maithilisharan,Nominated,NOM.,1958-04-03,1964-04-02,Retirement,1964-04-02,Retirement,""
77,Gupta Shri R. C.,Uttar Pradesh,Congress,1952-04-03,1954-04-02,Retirement,1954-04-02,Retirement,INDIAN NATIONAL CONGRESS
77,Gupta Shri R. C.,Uttar Pradesh,Congress,1954-04-03,1960-04-02,Retirement,1960-04-02,Retirement,INDIAN NATIONAL CONGRESS
83,Gupte Shri Bhalchanda Maheshwar,Bombay,Congress,1952-04-03,1958-04-02,Retirement,1958-04-02,Retirement,INDIAN NATIONAL CONGRESS
84,Gurumoorthy Shri B. V.,Hyderabad,Congress,1954-02-15,1956-04-02,Retirement,1956-04-02,Retirement,INDIAN NATIONAL CONGRESS
87,Guruswami Shri S.,Madras,O,1952-04-03,1954-04-02,Retirement,1954-04-02,Retirement,""
2,Hagjer Shri Joy Bhadra,Assam,Congress,1958-04-03,1964-04-02,17/03/1962 Resignation,1962-03-17,Resignation,INDIAN NATIONAL CONGRESS
8,Hans Raj Raizada,Punjab,Congress,1952-04-03,1952-08-19,29/08/1952 Resignation,1952-08-29,Resignation,INDIAN NATIONAL CONGRESS
8,Hans Raj Raizada,Punjab,Congress,1953-03-17,1958-04-02,Retirement,1958-04-02,Retirement,INDIAN NATIONAL CONGRESS
13,Hardikar Dr. N.S.,Bombay,Congress,1952-08-07,1956-04-02,Retirement,1956-04-02,Retirement,INDIAN NATIONAL CONGRESS
13,Hardikar Dr. N.S.,Mysore,Congress,1956-04-03,1962-04-02,Retirement,1962-04-02,Retirement,INDIAN NATIONAL CONGRESS
22,Hathi Shri Jai Sukh Lal,Saurashtra,Congress,1952-04-03,1958-04-02,12/03/57,2057-03-12,"",INDIAN NATIONAL CONGRESS
25,Hegde Shri K.S.,Madras,Congress,1952-04-03,1954-04-02,Retirement,1954-04-02,Retirement,INDIAN NATIONAL CONGRESS
25,Hegde Shri K.S.,Madras,Congress,1954-04-03,1960-04-02,21/08/1957 Resignation,1957-08-21,Resignation,INDIAN NATIONAL CONGRESS
29,Hemrom Shri Sunder Mohan,Odisha,Congress,1952-04-03,1956-04-02,Retirement,1956-04-02,Retirement,INDIAN NATIONAL CONGRESS
30,Hensman Smt. Mona,Madras,Congress,1952-04-03,1956-04-02,Retirement,1956-04-02,Retirement,INDIAN NATIONAL CONGRESS
32,Himatsingka Shri P.D.,West Bengal,Congress,1956-04-03,1962-04-02,01/03/1962 Elected to Lok Sabha,1962-03-01,ElectedtoLokSabha,INDIAN NATIONAL CONGRESS
3,Ibrahim Hafiz Mohammad,Uttar Pradesh,Congress,1958-08-18,1962-04-02,Retirement,1962-04-02,Retirement,INDIAN NATIONAL CONGRESS
5,Imam Shri Jafar,Bihar,INC,1952-04-03,1956-04-02,Retirement,1956-04-02,Retirement,INDIAN NATIONAL CONGRESS
6,Imbichibava Shri E.K.,Madras,CPI,1952-04-03,1954-04-02,Retirement,1954-04-02,Retirement,COMMUNIST PARTY OF INDIA
8,Inaitullah Khawaja,Bihar,Congress,1952-04-03,1954-04-02,Retirement,1954-04-02,Retirement,INDIAN NATIONAL CONGRESS
11,Indra Vidyavachaspati Shri,Uttar Pradesh,Congress,1952-04-03,1958-04-02,Retirement,1958-04-02,Retirement,INDIAN NATIONAL CONGRESS
17,Ismail Saheb Shri M. Muhammad,Others,ML,1952-04-03,1958-04-02,Retirement,1958-04-02,Retirement,MUSLIM LEAGUE
18,Italia Shri Dinshaw D.,Andhra Pradesh,INC,1952-04-03,1956-04-02,Retirement,1956-04-02,Retirement,INDIAN NATIONAL CONGRESS
19,Iyer Shri N. Ramakrishna,Others,IND.,1957-04-22,1960-04-02,Retirement,1960-04-02,Retirement,INDEPENDENT
20,Jain Shri Shriyans Prasad,Bombay,Congress,1952-04-03,1954-04-02,Retirement,1954-04-02,Retirement,INDIAN NATIONAL CONGRESS
20,Jain Shri Shriyans Prasad,Bombay,Congress,1954-04-03,1958-04-02,Retirement,1958-04-02,Retirement,INDIAN NATIONAL CONGRESS
22,Jairamdas Daulatram Shri,Nominated,NOM.,1959-10-19,1964-04-02,Retirement,1964-04-02,Retirement,""
25,Jalali Shri Syed Mohammad,Jammu & Kashmir,J&KNC,1952-04-03,1956-04-02,Retirement,1956-04-02,Retirement,JAMMU & KASHMIR NATIONAL CONFERENCE
25,Jalali Shri Syed Mohammad,Jammu & Kashmir,J&KNC,1956-04-03,1962-04-02,22/02/1961 Death,1961-02-22,Death,JAMMU & KASHMIR NATIONAL CONFERENCE
50,John Shri Michael,Bihar,Congress,1956-04-03,1962-04-02,Retirement,1962-04-02,Retirement,INDIAN NATIONAL CONGRESS
57,Joshi Shri Jethalal Harikrishna,Bombay,Congress,1957-04-22,1960-04-02,Retirement,1960-04-02,Retirement,INDIAN NATIONAL CONGRESS
61,Joshi Shri Maganlal Bhagwanji,Bombay,Congress,1957-04-22,1958-04-02,Retirement,1958-04-02,Retirement,INDIAN NATIONAL CONGRESS
70,Jugal Kishore Shri,Punjab,Congress,1957-04-20,1962-04-02,Retirement,1962-04-02,Retirement,INDIAN NATIONAL CONGRESS
1,Kabir Prof. Humayun,West Bengal,Congress,1956-04-03,1962-04-02,02/03/1962 Elected to Lok Sabha,1962-03-02,ElectedtoLokSabha,INDIAN NATIONAL CONGRESS
8,Kakkilaya Shri B.V.,Madras,CPI,1952-04-03,1954-04-02,Retirement,1954-04-02,Retirement,COMMUNIST PARTY OF INDIA
12,Kalelkar Kaka Saheb,Nominated,NOM.,1952-04-03,1958-04-02,Retirement,1958-04-02,Retirement,""
12,Kalelkar Kaka Saheb,Nominated,NOM.,1958-04-03,1964-04-02,Retirement,1964-04-02,Retirement,""
